var13,offset_rank,flights_rank,solar_rank,ev_rank,pbd_rank,recs_rank,local_rank,bulbs_rank,fridge_rank,trees_rank,recycling_rank,pack_rank,ev_ee,ev_pnb,ev_ne,ev_intent,ev_program_interest,fly_ee,fly_pnb,fly_ne,fly_intent,fly_program_interest,offset_ee,offset_pnb,offset_ne,offset_intent,offset_program_interest,pbd_ee,pbd_pnb,pbd_ne,pbd_intent,pbd_program_interest,recs_ee,recs_pnb,recs_ne,recs_intent,recs_program_interest,solar_ee,solar_pnb,solar_ne,solar_intent,solar_program_interest,foodwaste_ee,foodwaste_pnb,foodwaste_ne,foodwaste_intent,foodwaste_program_interest
6069f875-e23f-7f60-a67c-250b7fda65ce,10,12,5,9,1,7,2,6,3,4,8,11,0.4,1,0.7,0.5,0.4,0.3,1,0.4,0.4,0.1,0.1,1,0.2,0.5,0.1,0.1,1,0.4,0.5,0.1,0.4,1,0.9,0.5,0.4,0.4,1,0.3,0.5,0.4,0.3,1,0.6,0.5,0.3
6069f82e-8aae-a164-09fa-bc30e4ce1050,3,6,5,2,8,1,11,9,7,10,4,12,1,1,1,0.9,0.9,1,1,1,0.9,0.9,1,1,1,0.9,0.9,1,1,1,0.9,0.9,1,1,1,0.9,0.9,1,1,1,0.9,0.9,1,1,1,0.9,0.9
6069f8fb-69d9-1b6b-784e-3f50e8f11a39,11,8,4,9,12,10,1,3,7,5,2,6,0,1,0.2,0.9,0.7,0,1,0.2,0,0.7,0,0,0,0,0.5,0.3,0,0.3,0.8,0.8,0.1,0,0.2,0,0,0,0,0,0,0,0,1,0.3,0,0.5
6069fa26-b867-3bf6-2a0b-19e5549b57d1,7,1,2,4,12,3,9,6,5,11,10,8,0.1,0,0.3,0.3,0.4,0.8,0,0.3,0.1,0,0.1,0,0.1,0.2,0,0.2,1,0.3,0,0,0.3,1,0.5,0.3,0.3,0.1,1,0.4,0,0.2,0.2,1,0.5,0.3,0.5
6069fa75-d0d0-f33a-b531-b6700073bd69,8,7,1,6,5,2,9,12,11,10,4,3,0.3,1,0.2,0.4,0.4,0.5,1,0.3,0.8,0.1,0.1,1,0.6,0.3,0.6,0.4,1,0.4,0,0,0.3,1,0.5,0.3,0.4,0.4,1,0.4,0,0,0.6,1,0.4,0.6,0.6
6069fd47-c260-cd79-e217-ade9d9c41955,1,5,6,7,11,2,3,9,10,4,12,8,0.1,0,0.1,0,0.1,0.5,1,0.2,0.7,0.5,0.1,0,0.2,0.1,0.2,0.5,1,0.5,0.8,0.7,0.4,0,0.5,0.8,0.7,0.4,0,0.4,0,0,0.3,1,0.2,1,0.5
606a033d-b3bf-3c7a-f2a9-93afc73ac618,12,9,6,11,7,8,4,5,3,1,2,10,0.2,1,0.8,0.5,0.5,0.5,0,0.5,1,0,0.6,1,0.4,0.8,0,0.4,1,0.3,0.2,0,0.2,1,0.3,0.5,0,0.5,1,0.6,0.6,1,0.2,1,0.3,0.5,0
606a0677-3eb2-65ef-1e01-cbfc2d5acabb,11,4,10,3,6,1,12,2,9,5,7,8,0.3,1,0.2,0.7,0.6,0.8,1,0.5,0.6,0.5,0.2,1,0.1,0.7,0.7,0.3,1,0.1,0.7,0.7,0.4,1,0.3,0.5,0.5,0.3,1,0.2,0.5,0.6,0.3,1,0.3,0.6,0.7
606a0b5b-7c3d-0a0b-ac0d-c16f8efa8bb3,12,11,2,3,9,1,7,10,8,4,6,5,0.1,1,0.3,0.7,0.9,0.4,1,0.4,0.6,0.8,0.1,0,0.1,0.1,0,0.2,1,0.2,0.5,0.7,0.3,1,0.4,0.5,0.9,0.1,1,0.2,0,0.5,0.3,1,0.5,0.5,0.5
606a0e44-7a63-4afc-3a23-736b1ea96deb,11,7,2,1,10,9,12,5,6,3,4,8,0.1,1,1,0.5,1,0.5,1,0.7,0.9,1,0.2,1,0.8,0.5,1,0.5,1,0.8,0.7,1,0.5,1,0.5,0.5,1,0.3,1,0.8,0.5,1,0.5,1,0.8,0.8,1
606a0ef3-3059-fcee-d241-bbb73e586c27,7,12,1,3,11,2,10,9,8,5,4,6,0.1,1,0.5,0.8,0.5,0.2,0,0.1,0.1,0.2,0,0,0.1,0.1,0.3,0.4,0,0.2,0.4,0.4,0.1,1,0.2,0.2,0.5,0.3,1,0.3,0.3,0.6,0.2,1,0.2,0.4,0.5
606a1293-14dc-90c2-f2ec-c29ed4d1b80a,4,10,2,9,12,5,8,11,7,6,1,3,0.3,1,0.7,0.8,0.8,0.5,1,0.5,0.7,0.7,0.3,1,0.5,0.5,0.7,0.7,1,0.8,0.8,0.7,0.3,1,0.6,0.5,0.9,0.2,1,0.6,0.5,0.8,0.7,1,0.7,0.9,0.8
606a128d-574b-a6fb-2d5d-f8d9ab48e322,12,8,6,9,10,5,11,2,4,7,1,3,0.1,0,0.2,0.3,0.3,0.1,0,0.2,0.3,0.2,0.1,0,0.2,0,0,0.1,0,0.4,0,0,0.1,1,0.4,0.1,0.1,0.1,1,0.2,0,0,0.5,1,0.5,0.8,0.1
606a1aca-a06d-c75b-29cc-34b18afe1361,7,1,4,6,10,2,3,9,8,12,11,5,0.1,1,0,0.2,0.5,0.3,1,0,1,0,0.1,0,0,0,0.2,0.4,0,0.5,0.2,0,0.2,1,0.2,0,0.5,0.1,1,0.1,0,0.4,0.2,1,0.2,0.1,0.5
606a1ad1-51ec-5a6e-876d-e2eebf001ac9,2,11,3,8,10,5,1,7,6,12,4,9,0.3,0,0.5,0.1,0,0.7,1,0.4,0.6,0.4,0.1,1,0.2,0,0.3,0.2,0,0.1,0,0.2,0.1,1,0.1,0,0,0.3,1,0.4,0,0.1,0.1,1,0.2,0.2,0.6
606a1b78-f33b-4fff-5fab-58d28b51c2ff,8,10,6,4,12,5,3,11,7,9,2,1,0.2,1,0.1,0.3,0.1,0.1,0,0.1,0,0,0.2,1,0.2,0.1,0.2,0.3,0,0.2,0.1,0.1,0.2,1,0.2,0.3,0.2,0.5,1,0.5,0.4,0.3,0.4,1,0.3,0.3,0.3
606a1d61-b2be-360c-2d9d-0853d034c422,12,9,1,6,4,2,8,11,10,7,3,5,0.2,1,0.2,0.5,0.8,0.9,0,0.2,0.4,0.2,0.3,1,0.3,0.4,0.7,0.5,1,0.4,0.6,0.8,0.5,1,0.4,0.4,0.8,0.4,1,0.3,0.2,0.8,0.5,1,0.5,0.8,0.5
606a1f10-ecae-503d-9f2a-c56d2bf80037,12,6,9,7,8,5,2,3,4,11,1,10,0.2,1,0.2,0.2,0.5,0.2,0,0.1,0.1,0.3,0,1,0,0.1,0.3,0.2,1,0.2,0.3,0.4,0.1,1,0.2,0.1,0.4,0.1,0,0.2,0.1,0.1,0.4,1,0.7,0.6,0.8
606a221d-cea5-6282-6349-57b3e2ae5786,7,12,2,3,6,1,5,4,9,8,10,11,0.2,1,0.6,0.7,0.9,0.5,1,0.2,0.5,0.4,0.1,1,0.3,0.5,0.6,0.3,0,0.3,0.6,0.4,0.2,1,0.6,0.7,0.8,0.3,1,0.4,0.4,0.4,0.4,1,0.6,1,0.8
606a279f-614a-10bd-3767-7f946ed9d7cd,1,10,2,8,11,7,5,9,12,3,4,6,0.6,0,0.6,0.1,0.5,0.7,1,1,1,0.4,0.5,1,0.5,0.1,0.3,0.6,0,0.4,1,0.3,0.6,1,0.5,0,0.2,0.7,1,0.4,0,0.2,0.6,1,0.4,0.6,0.3
606a27ea-e904-3915-09a7-65289df360d6,8,2,1,12,6,9,5,3,10,11,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
606a2de4-b58d-f0e4-1f9e-499bf543586f,2,4,1,11,10,5,8,9,6,12,3,7,0.2,0,0.3,0.2,0.7,0.4,1,0.4,0.6,0.7,0.2,1,0.4,0.3,0.6,0.4,1,0.3,0.6,0.8,0.3,1,0.6,0.2,0.6,0.3,0,0.3,0.1,0.6,0.2,1,0.6,1,0.8
606a2e6c-ec94-7fa7-1fcd-ee24abf111ca,12,10,1,3,5,2,6,9,11,8,4,7,0.1,1,0.6,0.8,1,0,1,0.2,0,0,0.1,1,0.4,0.5,1,0.5,1,0.5,1,1,0.3,1,0.3,1,1,0.2,1,0.2,1,1,0.3,1,0.4,1,1
606a300d-e05d-62bf-67dc-3ac4065003d3,5,6,8,12,9,1,2,11,7,3,4,10,0.2,1,1,0.3,0.8,0.2,1,0.8,0.2,0.8,0.1,1,0.8,0.6,0.4,0.4,1,0.7,0.5,0.8,0.6,1,0.6,0.7,0.8,0.8,0,0.8,0.9,0.8,0.8,1,0.8,0.8,0.8
606a31c6-ef83-ad5e-93fa-7d7642a2ff32,9,7,1,2,11,6,10,4,5,12,3,8,0.2,1,0.4,0.4,0.8,0,1,0.1,0.2,0.1,0.1,1,0.2,0.2,0.5,0.6,0,0.6,0.1,0,0.4,1,0.5,0.5,0.3,0.5,1,0.6,1,0,0.3,0,0.2,0.1,0
